time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.18640136489e-06,-1.23725466361e-07,10.0102911017,6.28295773532,0.00105859824892,0.0,-0.000164100887222,-1.79628502307e-05,0.342997187921,-0.0127294645696,0.0397573955138,0.0,506.67384750999366,509.52360067398996,508.7388437583012,507.8268055468354
0.12000000000000001,-4.35312886854e-05,-9.00208114102e-06,10.0341195063,6.28192795016,0.00358542533791,0.0,-0.00146794169869,-0.000368546232542,0.451245288295,-0.0279636501775,0.0464518378223,0.0,439.1522473636995,439.70807384052745,440.5025370163677,439.24121127032095
0.18,-0.000214141861961,-6.26517032332e-05,10.0636126042,6.27992650814,0.00657136731292,0.0,-0.00450578795768,-0.00159901420015,0.531821758891,-0.0472377930095,0.0556813885311,0.0,430.06958693625717,430.8521219251392,432.19993890744166,430.57209631037125
0.23999999999999996,-0.000635747152618,-0.000237997099911,10.0989137401,6.27659930408,0.00968328202836,0.0,-0.00988406126735,-0.00455539699307,0.644821347476,-0.0818689341197,0.0428678724686,0.0,441.8496650876991,440.7939250921155,442.75965545895235,439.89913524670175
0.3,-0.00143725308171,-0.000664856475917,10.1404212035,6.27160473339,0.0126291880783,0.0,-0.0171134546388,-0.0101734263828,0.738697113948,-0.0861408901461,0.0593044788073,0.0,434.4320107458695,435.80933947978724,435.8948597187863,435.53195107751543
0.36000000000000004,-0.00270338680469,-0.0015009316001,10.1850916331,6.26656563615,0.0162113500208,0.0,-0.0254084123927,-0.0181491261134,0.750298980182,-0.0799909778519,0.0604871327054,0.0,407.86237956904733,407.97083792360735,408.81253446622253,409.35361901940007
0.4200000000000001,-0.00460160619698,-0.00297755894219,10.2345863319,6.26154753345,0.0195836728736,0.0,-0.0382483706998,-0.0316048731149,0.899401605422,-0.0921498471661,0.045863779749,0.0,453.33220967486636,452.157856824591,453.5039187870756,452.5207114695216
0.48000000000000015,-0.00738871384553,-0.00542795453565,10.2953355597,6.2557284221,0.0229044592656,0.0,-0.0550234436203,-0.0507520837296,1.12535313954,-0.109018390539,0.0696076225541,0.0,475.3915720010064,477.20897928312684,476.62526757317875,475.32695005186287
0.5400000000000001,-0.0111033967864,-0.00897332033292,10.362643488,6.24922291638,0.026947378577,0.0,-0.0691541267042,-0.0679887053445,1.11822513579,-0.10726514995,0.0625137959176,0.0,402.55629038837696,401.9178485215478,403.5615513194582,403.70810121247484
0.6000000000000002,-0.0158376634946,-0.0137964354394,10.4332246341,6.2425697888,0.0305998366263,0.0,-0.0890385007182,-0.0934592047876,1.23432368775,-0.119332303893,0.0573769593951,0.0,443.83058230372677,443.41147320425625,443.8371238060387,442.83471347850826
0.6600000000000003,-0.0217928924724,-0.0202263899824,10.50922146,6.23501070487,0.0339745607402,0.0,-0.109797284724,-0.121576156742,1.29878881218,-0.144586860198,0.0538814232191,0.0,426.5125404602802,426.21622524506154,429.38048232570264,427.2171713360242
0.7200000000000003,-0.0290548398276,-0.0284907867013,10.5889534054,6.22632705188,0.036907579653,0.0,-0.132564610122,-0.154733921457,1.35881590788,-0.1450100828,0.036322875205,0.0,426.63163177346195,425.1314917762262,426.4598599324207,426.4031637639373
0.7800000000000004,-0.0378743809045,-0.0391296838005,10.6759647627,6.21753729253,0.0391832751195,0.0,-0.161666998345,-0.200880825875,1.54125844096,-0.149642919231,0.0409591490618,0.0,464.4260959136275,464.79017967139384,465.04371235328745,464.66162366693237
0.8400000000000004,-0.0485130988783,-0.0527736950355,10.7743779747,6.20832372038,0.0419285951566,0.0,-0.193251462893,-0.254957563143,1.73880768223,-0.162830890432,0.0539407022275,0.0,469.16851395984054,470.1763292851921,470.6395737949942,469.5967998608556
0.9000000000000005,-0.0608541087438,-0.0694133395731,10.8785101684,6.19836640556,0.0452384051748,0.0,-0.218399674664,-0.300547482889,1.73218690262,-0.173067697689,0.0575024203427,0.0,406.5323449676267,406.85369527534596,405.01786850897145,404.0667520866921
0.9600000000000005,-0.0749116839997,-0.0892444319919,10.9854497255,6.18775091069,0.0490465560505,0.0,-0.250553203232,-0.361544086246,1.83218226778,-0.186025725374,0.0733143063127,0.0,440.4240389573106,441.73269012004613,441.5178680044879,440.41689342191864
1.0200000000000005,-0.0912281539648,-0.11343950532,11.1032913999,6.17626446529,0.0535973136442,0.0,-0.293874466681,-0.446336205552,2.09523223244,-0.205367494862,0.0804787719236,0.0,490.72616326757446,491.261576988597,491.03017313066795,489.5609284648989
1.0800000000000005,-0.11012616293,-0.142747676715,11.2343875722,6.16348228606,0.0582773587991,0.0,-0.336584613989,-0.531979473199,2.27408030284,-0.23632013971,0.0725200444157,0.0,466.7609828719658,466.14400314556957,469.45802034975344,467.0067011358543
1.1400000000000006,-0.131409676172,-0.176911039313,11.3714083319,6.14895944196,0.0626394569744,0.0,-0.373258707201,-0.608079912893,2.29302116218,-0.257056427421,0.073062168591,0.0,418.53891259330004,418.5905435531692,418.0078096100418,416.13329319070715
1.2000000000000006,-0.155082596021,-0.216142485655,11.5112152416,6.13316889628,0.0668497229989,0.0,-0.416254863325,-0.701136125395,2.36676997246,-0.279624663952,0.0636548181875,0.0,436.274228732138,435.4919150677834,438.1303669630382,436.17800115429026
1.2600000000000007,-0.181435624128,-0.261314596243,11.6556474598,6.11687691949,0.0707013608565,0.0,-0.462551514214,-0.806202992343,2.44712527974,-0.258945414921,0.0652505263382,0.0,439.68336013456127,439.8186016212784,438.75319522148266,440.3907316661874
